stagger,version,SUM(count)
R2a.1,258.11,99
SB1.1,256.17,1
R1.1,258.11,11
R2a.2,258.7,5
SB1.2,258.15,37
SB2.1,260.1,18
R2b.2,258.11,21
R1.2,258.15,42
R2b.1,258.11,10
SB2.2,260.1,12
R2a.1,258.7,1
R2a.2,258.15,79
SB2.2,258.15,5
SB1.2,256.17,1
SB1.1,260.1,50
R1.1,258.15,47
R2b.2,258.15,38
R0.2,258.15,3
R1.2,258.11,5
SB0,258.15,1
SB1.2,258.1,4
R2b.1,258.15,18
SB1.1,258.3,1
SB1.1,260.5,2
SB0,258.1,1
R0.1,260.5,2
R2a.1,258.15,84
SB1.1,258.1,2
SB2.1,258.15,6
SB1.2,260.1,25
R2a.2,258.11,139
R0.1,258.15,5
SB1.1,258.15,12
SB0,260.5,2
